Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw	ScanTypeName	DriftTime
0	174	0.0329	1	31	15	148.57	0	4	4	HMS	19.0739
0	175	0.0329	1	28	13	2392.6	0	3	3	HMS	19.1841
0	176	0.0329	1	50	47	174.55	0	2	2	HMS	19.2944
0	178	0.0329	1	51	17	699	0	5	5	HMS	19.5149
0	179	0.0329	1	14	7	155.1	0	2	2	HMS	19.6251
0	180	0.0329	1	38	20	246.97	0	4	4	HMS	19.7354
0	181	0.0329	1	62	24	212.13	0	3	3	HMS	19.8456
0	183	0.0329	1	14	7	258.73	0	2	2	HMS	20.0662
0	184	0.0329	1	24	14	196.51	0	2	2	HMS	20.1764
0	185	0.0329	1	14	14	252.21	0	1	1	HMS	20.2867
0	186	0.0329	1	13	13	232.94	0	1	1	HMS	20.3969
0	189	0.0329	1	13	9	220.8	0	2	2	HMS	20.7277
0	190	0.0329	1	23	21	219.54	0	2	2	HMS	20.8379
0	193	0.0329	1	16	16	297.09	0	1	1	HMS	21.1687
0	199	0.0329	1	15	11	229.08	0	2	2	HMS	21.8302
0	201	0.0498	1	13	9	411.15	0	2	2	HMS	0.0
0	202	0.0498	1	14	14	375.58	0	1	1	HMS	0.1103
0	206	0.0498	1	31	10	472.37	0	4	4	HMS	0.5513
0	213	0.0498	1	148	46	128.96	0	8	8	HMS	1.323
0	214	0.0498	1	1350	649	128.97	0	26	26	HMS	1.4333
0	215	0.0498	1	1233	499	128.97	0	24	24	HMS	1.5436
0	216	0.0498	1	985	124	135.02	0	57	57	HMS	1.6538
0	217	0.0498	1	1315	268	135.02	0	47	47	HMS	1.7641
0	218	0.0498	1	3301	569	164.93	0	111	111	HMS	1.8743
0	219	0.0498	1	10770	4037	164.93	0	151	151	HMS	1.9846
0	220	0.0498	1	12193	4109	164.93	0	198	198	HMS	2.0948
0	221	0.0498	1	5491	203	204.92	0	271	271	HMS	2.2051
0	222	0.0498	1	7532	521	213.11	0	371	371	HMS	2.3153
0	223	0.0498	1	10343	664	200.98	0	468	468	HMS	2.4256
0	224	0.0498	1	10642	720	229.15	0	521	521	HMS	2.5358
0	225	0.0498	1	10191	105	302.93	0	688	688	HMS	2.6461
0	226	0.0498	1	19293	1416	245.08	0	919	919	HMS	2.7563
0	227	0.0498	1	36199	5569	239.16	0	1215	1215	HMS	2.8666
0	228	0.0498	1	39715	5738	239.17	0	1516	1516	HMS	2.9768
0	229	0.0498	1	40683	1325	306.85	0	1939	1939	HMS	3.0871
0	230	0.0498	1	53161	1568	586.84	0	2598	2598	HMS	3.1974
0	231	0.0498	1	62285	984	299.11	0	3304	3304	HMS	3.3076
0	232	0.0498	1	79112	1089	643.85	0	4053	4053	HMS	3.4179
0	233	0.0498	1	97028	781	309.21	0	5030	5030	HMS	3.5281
0	234	0.0498	1	106460	1238	309.2	0	5346	5346	HMS	3.6384
0	235	0.0498	1	122478	1227	694.82	0	5853	5853	HMS	3.7486
0	236	0.0498	1	129209	1813	754.8	0	6112	6112	HMS	3.8589
0	237	0.0498	1	133066	2611	393.08	0	6140	6140	HMS	3.9691
0	238	0.0498	1	130316	1576	393.08	0	6453	6453	HMS	4.0794
0	239	0.0498	1	126065	531	774.33	0	6609	6609	HMS	4.1896
0	240	0.0498	1	118581	422	852.8	0	6368	6368	HMS	4.2999
0	241	0.0498	1	120422	900	862.79	0	6460	6460	HMS	4.4101
0	242	0.0498	1	118949	364	911.78	0	6556	6556	HMS	4.5204
0	243	0.0498	1	118197	1656	467.1	0	6479	6479	HMS	4.6307
0	244	0.0498	1	117753	3039	467.1	0	6323	6323	HMS	4.7409
0	245	0.0498	1	105269	1938	467.1	0	6100	6100	HMS	4.8512
0	246	0.0498	1	99494	535	467.1	0	6261	6261	HMS	4.9614
0	247	0.0498	1	87696	203	1021.8	0	5818	5818	HMS	5.0717
0	248	0.0498	1	84153	288	1019.8	0	5603	5603	HMS	5.1819
0	249	0.0498	1	83911	619	541.11	0	5622	5622	HMS	5.2922
0	250	0.0498	1	75849	991	541.12	0	5059	5059	HMS	5.4024
0	251	0.0498	1	74397	606	541.12	0	5051	5051	HMS	5.5127
0	252	0.0498	1	65050	462	1004	0	4728	4728	HMS	5.6229
0	253	0.0498	1	59620	133	1128.8	0	4508	4508	HMS	5.7332
0	254	0.0498	1	56794	117	615.14	0	4352	4352	HMS	5.8434
0	255	0.0498	1	52999	732	1386.1	0	4189	4189	HMS	5.9537
0	256	0.0498	1	49445	221	1292.2	0	3965	3965	HMS	6.0639
0	257	0.0498	1	45738	206	1214.7	0	3652	3652	HMS	6.1742
0	258	0.0498	1	40152	81	1267.2	0	3380	3380	HMS	6.2845
0	259	0.0498	1	39572	100	1319.7	0	3343	3343	HMS	6.3947
0	260	0.0498	1	35599	92	1302.3	0	3126	3126	HMS	6.505
0	261	0.0498	1	31022	77	1366.7	0	2786	2786	HMS	6.6152
0	262	0.0498	1	28778	82	2519.3	0	2576	2576	HMS	6.7255
0	263	0.0498	1	26552	403	1348.4	0	2412	2412	HMS	6.8357
0	264	0.0498	1	25441	73	2828.4	0	2341	2341	HMS	6.946
0	265	0.0498	1	21186	53	1803.4	0	2023	2023	HMS	7.0562
0	266	0.0498	1	20530	52	1456.2	0	1998	1998	HMS	7.1665
0	267	0.0498	1	18022	59	1548.7	0	1767	1767	HMS	7.2767
0	268	0.0498	1	17851	66	928.81	0	1701	1701	HMS	7.387
0	269	0.0498	1	17134	498	1415.5	0	1612	1612	HMS	7.4972
0	270	0.0498	1	14404	95	928.82	0	1433	1433	HMS	7.6075
0	271	0.0498	1	14450	47	1564.2	0	1437	1437	HMS	7.7178
0	272	0.0498	1	13485	62	3207.7	0	1308	1308	HMS	7.828
0	273	0.0498	1	14151	58	928.81	0	1351	1351	HMS	7.9383
0	274	0.0498	1	12746	60	946.81	0	1233	1233	HMS	8.0485
0	275	0.0498	1	12861	79	2966.6	0	1242	1242	HMS	8.1588
0	276	0.0498	1	10970	228	1030.8	0	1042	1042	HMS	8.269
0	277	0.0498	1	10512	115	1030.7	0	1003	1003	HMS	8.3793
0	278	0.0498	1	9781	76	1030.7	0	981	981	HMS	8.4895
0	279	0.0498	1	9433	71	1030.8	0	952	952	HMS	8.5998
0	280	0.0498	1	8189	64	3419.8	0	829	829	HMS	8.71
0	281	0.0498	1	7345	61	2185.7	0	735	735	HMS	8.8203
0	282	0.0498	1	7851	41	3893.8	0	761	761	HMS	8.9305
0	283	0.0498	1	6752	83	1150.7	0	657	657	HMS	9.0408
0	284	0.0498	1	6890	66	3445.2	0	682	682	HMS	9.151
0	285	0.0498	1	6616	59	3831.1	0	648	648	HMS	9.2613
0	286	0.0498	1	6620	49	3887.6	0	640	640	HMS	9.3716
0	287	0.0498	1	4675	31	3844.3	0	488	488	HMS	9.4818
0	288	0.0498	1	5327	37	3666	0	545	545	HMS	9.5921
0	289	0.0498	1	4528	58	4373.3	0	463	463	HMS	9.7023
0	290	0.0498	1	4978	45	3770.5	0	505	505	HMS	9.8126
0	291	0.0498	1	3704	39	3876.7	0	373	373	HMS	9.9228
0	292	0.0498	1	4164	112	1812	0	395	395	HMS	10.0331
0	293	0.0498	1	4176	39	4170.6	0	424	424	HMS	10.1433
0	294	0.0498	1	4136	42	3628.9	0	426	426	HMS	10.2536
0	295	0.0498	1	2717	27	4080.7	0	290	290	HMS	10.3638
0	296	0.0498	1	3261	39	1186	0	336	336	HMS	10.4741
0	297	0.0498	1	2997	40	3602.5	0	314	314	HMS	10.5843
0	298	0.0498	1	2740	38	4550.4	0	273	273	HMS	10.6946
0	299	0.0498	1	2391	53	4300.5	0	246	246	HMS	10.8049
0	300	0.0498	1	2615	46	4456.9	0	273	273	HMS	10.9151
0	301	0.0498	1	2678	60	2666.6	0	285	285	HMS	11.0254
0	302	0.0498	1	2038	30	4404	0	214	214	HMS	11.1356
0	303	0.0498	1	2138	29	4632.5	0	230	230	HMS	11.2459
0	304	0.0498	1	1849	32	4738.7	0	186	186	HMS	11.3561
0	305	0.0498	1	1681	32	4634.8	0	168	168	HMS	11.4664
0	306	0.0498	1	1522	35	4918.9	0	167	167	HMS	11.5766
0	307	0.0498	1	964	24	4897.4	0	107	107	HMS	11.6869
0	308	0.0498	1	814	27	4399.1	0	90	90	HMS	11.7971
0	309	0.0498	1	1141	48	4795	0	116	116	HMS	11.9074
0	310	0.0498	1	756	26	4798.5	0	84	84	HMS	12.0176
0	311	0.0498	1	791	29	4495.6	0	83	83	HMS	12.1279
0	312	0.0498	1	707	28	4788.1	0	77	77	HMS	12.2381
0	313	0.0498	1	555	30	4807.9	0	61	61	HMS	12.3484
0	314	0.0498	1	442	21	1662.6	0	51	51	HMS	12.4587
0	315	0.0498	1	416	22	4607.8	0	50	50	HMS	12.5689
0	316	0.0498	1	430	29	1472.7	0	46	46	HMS	12.6792
0	317	0.0498	1	312	26	4861	0	37	37	HMS	12.7894
0	318	0.0498	1	226	21	1686.4	0	22	22	HMS	12.8997
0	319	0.0498	1	149	22	4725.7	0	17	17	HMS	13.0099
0	320	0.0498	1	107	19	4721.9	0	11	11	HMS	13.1202
0	321	0.0498	1	135	26	4948.2	0	13	13	HMS	13.2304
0	322	0.0498	1	139	22	4831.6	0	15	15	HMS	13.3407
0	323	0.0498	1	85	20	4696.9	0	10	10	HMS	13.4509
0	324	0.0498	1	75	15	1604.8	0	8	8	HMS	13.5612
0	326	0.0498	1	80	24	1680.7	0	7	7	HMS	13.7817
0	327	0.0498	1	103	35	225.62	0	10	10	HMS	13.892
0	328	0.0498	1	31	15	1683.7	0	3	3	HMS	14.0022
0	329	0.0498	1	66	15	1734.6	0	8	8	HMS	14.1125
0	330	0.0498	1	33	16	1838.6	0	3	3	HMS	14.2227
0	331	0.0498	1	14	7	1690.6	0	2	2	HMS	14.333
0	332	0.0498	1	28	11	1706.7	0	4	4	HMS	14.4432
0	334	0.0498	1	20	18	1744.7	0	2	2	HMS	14.6637
0	335	0.0498	1	44	15	1728.8	0	5	5	HMS	14.774
0	336	0.0498	1	17	12	3404.2	0	2	2	HMS	14.8842
0	337	0.0498	1	32	14	1561.9	0	3	3	HMS	14.9945
0	338	0.0498	1	20	18	4283.8	0	2	2	HMS	15.1047
0	339	0.0498	1	32	15	1213.8	0	4	4	HMS	15.215
0	341	0.0498	1	78	33	72.014	0	6	6	HMS	15.4355
0	343	0.0498	1	13	9	74.662	0	2	2	HMS	15.656
0	346	0.0498	1	61	18	1673.2	0	6	6	HMS	15.9868
0	348	0.0498	1	59	21	105.4	0	5	5	HMS	16.2073
0	350	0.0498	1	22	12	78.154	0	2	2	HMS	16.4278
0	351	0.0498	1	15	9	85.855	0	2	2	HMS	16.538
0	352	0.0498	1	41	13	72.073	0	4	4	HMS	16.6483
0	353	0.0498	1	13	9	89.324	0	2	2	HMS	16.7585
0	354	0.0498	1	15	11	127.54	0	2	2	HMS	16.8688
0	355	0.0498	1	26	9	123.01	0	4	4	HMS	16.9791
0	357	0.0498	1	32	13	134.9	0	4	4	HMS	17.1996
0	358	0.0498	1	107	14	113.8	0	12	12	HMS	17.3098
0	359	0.0498	1	48	16	102.15	0	6	6	HMS	17.4201
0	360	0.0498	1	28	9	100.2	0	4	4	HMS	17.5303
0	361	0.0498	1	78	20	71.929	0	7	7	HMS	17.6406
