Dataset	ScanNumber	Ion Injection Time (ms)	Scan Segment	Scan Event	Charge State	Monoisotopic M/Z	Collision Mode	Scan Filter Text
0	2229							FTMS + p NSI Full ms [400.00-2000.00]
0	2240							FTMS + p NSI Full ms [400.00-2000.00]
0	2251							FTMS + p NSI Full ms [400.00-2000.00]
0	2262							FTMS + p NSI Full ms [400.00-2000.00]
0	2273							FTMS + p NSI Full ms [400.00-2000.00]
0	2284							FTMS + p NSI Full ms [400.00-2000.00]
0	2295							FTMS + p NSI Full ms [400.00-2000.00]
0	2306							FTMS + p NSI Full ms [400.00-2000.00]
0	2317							FTMS + p NSI Full ms [400.00-2000.00]
0	2328							FTMS + p NSI Full ms [400.00-2000.00]
0	2339							FTMS + p NSI Full ms [400.00-2000.00]
0	2350							FTMS + p NSI Full ms [400.00-2000.00]
0	2361							FTMS + p NSI Full ms [400.00-2000.00]
0	2372							FTMS + p NSI Full ms [400.00-2000.00]
0	2383							FTMS + p NSI Full ms [400.00-2000.00]
0	2394							FTMS + p NSI Full ms [400.00-2000.00]
0	2405							FTMS + p NSI Full ms [400.00-2000.00]
0	2416							FTMS + p NSI Full ms [400.00-2000.00]
0	2427							FTMS + p NSI Full ms [400.00-2000.00]
0	2438							FTMS + p NSI Full ms [400.00-2000.00]
0	2449							FTMS + p NSI Full ms [400.00-2000.00]
0	2460							FTMS + p NSI Full ms [400.00-2000.00]
0	2471							FTMS + p NSI Full ms [400.00-2000.00]
0	2482							FTMS + p NSI Full ms [400.00-2000.00]
0	2493							FTMS + p NSI Full ms [400.00-2000.00]
0	2504							FTMS + p NSI Full ms [400.00-2000.00]
0	2515							FTMS + p NSI Full ms [400.00-2000.00]
0	2526							FTMS + p NSI Full ms [400.00-2000.00]
0	2537							FTMS + p NSI Full ms [400.00-2000.00]
0	2548							FTMS + p NSI Full ms [400.00-2000.00]
0	2559							FTMS + p NSI Full ms [400.00-2000.00]
0	2570							FTMS + p NSI Full ms [400.00-2000.00]
0	2581							FTMS + p NSI Full ms [400.00-2000.00]
0	2592							FTMS + p NSI Full ms [400.00-2000.00]
0	2603							FTMS + p NSI Full ms [400.00-2000.00]
0	2614							FTMS + p NSI Full ms [400.00-2000.00]
0	2625							FTMS + p NSI Full ms [400.00-2000.00]
0	2636							FTMS + p NSI Full ms [400.00-2000.00]
0	2647							FTMS + p NSI Full ms [400.00-2000.00]
0	2658							FTMS + p NSI Full ms [400.00-2000.00]
0	2669							FTMS + p NSI Full ms [400.00-2000.00]
0	2680							FTMS + p NSI Full ms [400.00-2000.00]
0	2691							FTMS + p NSI Full ms [400.00-2000.00]
